Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,ChoiceResp.keys,ChoiceResp.rt,Chosen_Card,GoodDeck?,GainsLosses,TotalinBank,ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,ChoiceBlock.ran,A_Outcome,B_Outcome,C_Outcome,D_Outcome,ChoiceBlock.order
space,0.6043,,,,2022-11-02_14h53.30.891,IOWA_Gambling_4Choice_H,2022.2.4,Win32,58.81315062,,,,,,,,,,,,,,,,
,,,,,2022-11-02_14h53.30.891,IOWA_Gambling_4Choice_H,2022.2.4,Win32,58.81315062,,,,,,,,,,,,,,,,
,,,,,2022-11-02_14h53.30.891,IOWA_Gambling_4Choice_H,2022.2.4,Win32,58.81315062,,,,,,,,,,,,,,,,
,,,,,2022-11-02_14h53.30.891,IOWA_Gambling_4Choice_H,2022.2.4,Win32,58.81315062,,,,,,,,,,,,,,,,
,,,,,2022-11-02_14h53.30.891,IOWA_Gambling_4Choice_H,2022.2.4,Win32,58.81315062,1,0.583,A_Card,0,100,2100,0,0,0,0,1,100,100,50,50,
,,,,,2022-11-02_14h53.30.891,IOWA_Gambling_4Choice_H,2022.2.4,Win32,58.81315062,2,0.4629,,,,,0,1,1,1,1,100,100,50,50,4
