Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate
space,3.627,,,,2023-05-04_15h23.36.821,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.27727547
,,,,,2023-05-04_15h23.36.821,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.27727547
,,,,,2023-05-04_15h23.36.821,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.27727547
,,,,,2023-05-04_15h23.36.821,IOWA_Gambling_4Choice_H,2022.2.4,Win32,60.27727547
