Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate
space,2.21,,,,2023-04-28_22h58.38.926,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,250
,,,,,2023-04-28_22h58.38.926,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,250
