Instruct1_Resp.keys,Instruct1_Resp.rt,participant,age,sex,date,expName,psychopyVersion,OS,frameRate
space,3.9385,l,22,female,2023-03-24_18h03.21.087,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001
,,l,22,female,2023-03-24_18h03.21.087,IOWA_Gambling_4Choice_H,2022.2.4,MacIntel,60.0024001
